Raw file	Scan number	Scan index	Retention time	Cycle time	Ion injection time	Base peak intensity	Total ion current	MS/MS count	Mass calibration	Experiment	Peak length	Isotope pattern length	Multiplet length	Peaks / s	Single peaks / s	Isotope patterns / s	Single isotope patterns / s	Multiplets / s	Identified multiplets / s	Multiplet identification rate [%]	MS/MS / s	Identified MS/MS / s	MS/MS identification rate [%]	Intens Comp Factor	CTCD Comp	RawOvFtT	AGC Fill
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	1	0	0.0014514	0.56252	50	1387900	12388000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	3.928	7.606	7.606	169.7	162.6	3.184	0	3.184	0	0	0	0		NaN	NaN	761898.1	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	2	1	0.010827	0.54407	39.404	1565500	13248000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	3.933	7.601	7.601	169.6	162.6	3.178	0	3.178	0	0	0	0		NaN	NaN	654533.5	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	3	2	0.019895	0.542	39.081	1605700	13383000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	3.938	7.596	7.596	169.6	162.5	3.173	0	3.173	0	0	0	0		NaN	NaN	654073.8	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	4	3	0.028928	0.52543	39.298	1534000	13115000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	3.944	7.592	7.592	169.5	162.5	3.168	0	3.168	0	0	0	0		NaN	NaN	657507.4	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	5	4	0.037685	0.54086	37.867	1562300	13568000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	3.948	7.587	7.587	169.4	162.5	3.163	0	3.163	0	0	0	0		NaN	NaN	652737.5	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	6	5	0.046699	0.52752	37.932	1626200	13346000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	3.953	7.582	7.582	169.4	162.4	3.157	0	3.157	0	0	0	0		NaN	NaN	638966.9	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	7	6	0.055491	0.53143	36.405	1622400	14057000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	3.958	7.577	7.577	169.3	162.4	3.152	0	3.152	0	0	0	0		NaN	NaN	653014.6	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	8	7	0.064348	0.53175	37.414	1615100	13495000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	3.963	7.573	7.573	169.3	162.3	3.147	0	3.147	0	0	0	0		NaN	NaN	632507.5	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	9	8	0.073211	0.53425	37.71	1611000	13592000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	3.968	7.568	7.568	169.2	162.3	3.142	0	3.142	0	0	0	0		NaN	NaN	648296.9	NaN
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	10	9	0.082115	0.53619	36.905	1618900	13747000	0	-0.98023	TUM_first_pool_1_01_01-3xHCD-1h-R1-tryptic	3.973	7.563	7.563	169.2	162.3	3.137	0	3.137	0	0	0	0		NaN	NaN	642729.8	NaN
